county_state,absolute,latitude,longitude
San Diego CA,44.3,32.88326,-117.112994
San Francisco CA,47.8,37.759598,-122.438323
San Joaquin CA,42.6,37.931804,-121.298108
San Luis Obispo CA,45.1,35.342391,-120.667689
San Mateo CA,47.0,37.56395,-122.340991
Santa Barbara CA,44.4,34.639262,-120.092602
Santa Clara CA,45.6,37.315105,-121.910421
Santa Cruz CA,43.4,36.985171,-121.936728
Shasta CA,41.9,40.580269,-122.299961
Sierra CA,,39.612588,-120.414236
Siskiyou CA,44.5,41.576203,-122.489833
Solano CA,42.8,38.235582,-122.069324
Sonoma CA,43.6,38.41408,-122.720522
Stanislaus CA,42.2,37.619147,-120.955577
Sutter CA,44.6,39.13549,-121.644269
Tehama CA,41.4,40.115187,-122.218704
Trinity CA,42.5,40.681268,-123.072357
Tulare CA,42.1,36.251227,-119.231547
Tuolumne CA,44.8,37.971531,-120.32853
Ventura CA,44.5,34.241989,-119.025018
Yolo CA,44.3,38.598913,-121.721112
Yuba CA,42.4,39.13883,-121.506626
Adams CO,41.7,39.874297,-104.927473
Alamosa CO,44.1,37.483069,-105.877245
Arapahoe CO,44.0,39.647528,-104.845968
Archuleta NM,43.7,,
Baca CO,,37.368221,-102.527089
Bent CO,,38.072386,-103.1631
Boulder CO,46.8,40.063299,-105.183981
Chaffee CO,48.1,38.676497,-106.082645
Cheyenne CO,,38.816795,-102.45777
Clear Creek CO,,39.712957,-105.52965
Conejos CO,48.0,37.195652,-105.989049
Costilla CO,,37.281779,-105.448477
Crowley CO,,38.188547,-103.857439
Custer CO,,38.134216,-105.381557
Delta CO,50.3,38.798565,-107.910553
Denver CO,37.6,39.72143,-104.955068
Dolores CO,,37.740817,-108.75741
Douglas CO,47.9,39.48527,-104.879712
Eagle CO,45.9,39.599453,-106.717771
Elbert CO,46.7,39.382868,-104.51913
El Paso CO,41.2,38.873669,-104.758477
Fremont CO,45.6,38.426058,-105.206532
Garfield CO,49.3,39.507561,-107.539356
Gilpin CO,,39.85702,-105.48021
Grand CO,42.7,40.050388,-105.9754
Gunnison CO,48.3,38.657886,-106.944723
Hinsdale CO,,37.996875,-107.29653
Huerfano CO,43.2,37.616312,-104.884201
Jackson WY,,,
Jefferson CO,45.4,39.720524,-105.128819
Kiowa CO,,38.470657,-102.680579
Kit Carson CO,55.5,39.309763,-102.435733
Lake CO,43.0,39.24587,-106.308061
La Plata CO,47.8,37.265198,-107.806184
Larimer CO,45.4,40.504546,-105.099218
Las Animas CO,45.5,37.196601,-104.503149
Lincoln CO,,39.173232,-103.613697
Logan CO,50.1,40.639399,-103.187715
Mesa CO,46.6,39.092851,-108.543768
Mineral CO,,37.798623,-106.935586
Moffat CO,48.6,40.515239,-107.625859
Montezuma CO,46.4,37.370817,-108.557116
Montrose CO,45.1,38.479142,-107.934568
Morgan CO,47.8,40.256023,-103.781517
Otero CO,43.2,38.024096,-103.657432
Ouray CO,,38.139834,-107.746232
Park CO,48.6,39.311718,-105.623144
Phillips CO,,40.599517,-102.387354
Pitkin CO,42.0,39.232543,-106.907765
Prowers CO,48.3,38.083772,-102.547035
Pueblo CO,39.2,38.263685,-104.645147
Rio Blanco CO,56.7,40.051033,-108.280174
Rio Grande CO,44.8,37.616658,-106.238805
Routt CO,50.9,40.453133,-106.899535
Saguache CO,45.3,37.915302,-106.019489
San Juan NM,40.3,36.72194,-108.220647
San Juan NM,40.3,36.72194,-108.220647
San Miguel CO,,37.974202,-107.960034
Sedgwick NE,,,
Summit CO,48.4,39.573131,-106.054579
