county state,relative mobility,absolute mobility,sample size,lat,long
District of Columbia DC,0.32,35.8,13596,38.91027,-77.014468
Alachua FL,0.363,38.1,6953,29.665903,-82.386845
Baker FL,0.371,39.6,981,30.288432,-82.185477
Bay FL,0.325,39.7,5492,30.206925,-85.660217
Bradford FL,0.386,38.9,886,29.953429,-82.128192
Brevard FL,0.307,39.5,15098,28.232195,-80.690979
Broward FL,0.293,40.3,43967,26.134058,-80.227135
Calhoun FL,0.408,40.3,449,30.463143,-85.122189
Charlotte FL,0.236,41.9,2935,26.954793,-82.119946
Citrus FL,0.287,40.8,2966,28.863598,-82.453512
Clay FL,0.29,40.9,5875,30.084386,-81.79941
Collier FL,0.283,40.4,4209,26.199831,-81.699625
Columbia FL,0.344,38.3,2071,30.126051,-82.660566
De Soto FL,0.312,37,859,,
Dixie FL,0.368,41.1,443,29.634179,-83.056329
Duval FL,0.373,36.7,28189,30.300302,-81.622853
Escambia FL,0.353,38.1,10316,30.485314,-87.274788
Flagler FL,0.287,40.2,1258,29.523494,-81.224735
Franklin FL,0.34,36,332,29.786787,-84.822838
Gadsden FL,0.424,33.8,2174,30.59828,-84.581397
Gilchrist FL,0.366,41.3,483,29.704639,-82.808262
Gulf FL,0.403,36.1,450,29.988579,-85.259478
Hamilton FL,0.437,37.3,465,30.501534,-82.997218
Hardee FL,0.388,40.7,1015,27.548312,-81.815432
Hendry FL,0.25,38.8,1277,26.705392,-81.202571
Hernando FL,0.287,40.4,3333,28.50485,-82.496961
Highlands FL,0.322,39.5,2291,27.460415,-81.442555
Hillsborough FL,0.347,38.7,32908,27.976529,-82.401275
Holmes FL,0.423,41.6,711,30.847684,-85.758558
Indian River FL,0.308,38.9,3179,27.671827,-80.440581
Jackson FL,0.369,40,1790,30.80024,-85.216119
Jefferson FL,0.333,36.7,496,30.504031,-83.886291
Lake FL,0.31,38.1,5741,28.735689,-81.752026
Lee FL,0.309,39.1,11029,26.574992,-81.858144
Leon FL,0.362,37.8,7509,30.466103,-84.270371
Levy FL,0.419,38.6,1153,29.379995,-82.666319
Madison FL,0.466,35.4,727,30.47263,-83.430563
Manatee FL,0.325,37.5,6844,27.477054,-82.532775
Marion FL,0.344,38.3,7743,29.140116,-82.123367
Martin FL,0.301,39.1,3172,27.1443,-80.244395
Miami-Dade FL,0.252,42,62492,25.774565,-80.298888
Monroe FL,0.221,43.7,1976,24.739678,-81.263945
Nassau FL,0.378,37.7,2315,30.607962,-81.647153
Okaloosa FL,0.316,40.8,6568,30.542829,-86.567105
Okeechobee FL,0.298,39,1250,27.272057,-80.822153
Orange FL,0.326,38.5,29422,28.532855,-81.384377
Osceola FL,0.272,40.2,5631,28.266765,-81.383484
Palm Beach FL,0.302,39.3,28903,26.617075,-80.146119
Pasco FL,0.336,39.1,8724,28.261606,-82.51608
Pinellas FL,0.322,39.6,19014,27.899794,-82.727651
Polk FL,0.341,39.3,16490,28.03114,-81.799975
Putnam FL,0.365,36.9,2503,29.609299,-81.720431
St Johns FL,0.338,39.3,3852,,
St Lucie FL,0.307,37.6,5767,,
Santa Rosa FL,0.292,42.8,4564,30.549593,-87.036954
Sarasota FL,0.3,40.2,7786,27.208205,-82.423893
Seminole FL,0.321,41.3,11890,28.697834,-81.310445
Sumter FL,0.372,37.6,1248,28.825768,-82.035469
Suwannee FL,0.355,41.1,1364,30.214688,-82.987546
Taylor FL,0.354,39.8,761,30.064881,-83.597967
Union FL,0.424,38.1,466,30.010768,-82.356919
Volusia FL,0.297,39.6,12674,29.073725,-81.123944
Wakulla FL,0.274,39.5,925,30.185525,-84.331546
Walton FL,0.32,39.5,1009,30.583729,-86.190665
Washington FL,0.335,40.7,713,30.650718,-85.625419
Appling GA,0.369,39.1,691,31.77388,-82.338473
Atkinson GA,0.245,37.6,341,31.317301,-82.886363
Bacon GA,0.32,37.4,363,31.547221,-82.466071
Baldwin GA,0.417,32.9,1534,33.084849,-83.245659
Banks GA,0.299,40.8,400,34.351255,-83.506647
Barrow GA,0.314,37.6,1267,33.993054,-83.7275
Bartow GA,0.335,37.4,2745,34.208435,-84.829122
Ben Hill GA,0.418,36.6,833,31.727638,-83.248636
Berrien GA,0.284,40.4,574,31.238588,-83.252459
Bibb GA,0.399,34,6662,32.832049,-83.687184
Bleckley GA,0.503,35.8,466,32.401368,-83.33214
Brantley GA,0.32,38.7,534,31.216648,-81.96997
Brooks GA,0.436,35.8,571,30.842082,-83.54009
Bryan GA,0.348,38.8,1249,31.979537,-81.375954
Bulloch GA,0.429,35.4,1569,32.417702,-81.76242
Burke GA,0.412,35.4,993,33.101987,-81.998447
Butts GA,0.365,36,822,33.296102,-83.970002
Camden FL,0.334,38.4,1693,,
Candler GA,0.389,34.5,330,32.399861,-82.062305
Carroll GA,0.36,38.8,3334,33.622193,-85.044673
Catoosa TN,0.33,40.8,1411,,
Charlton FL,0.419,40,364,,
Chatham GA,0.346,35,8378,32.036008,-81.126449
Chattooga GA,0.344,38.8,970,34.495509,-85.344167
Clarke GA,0.399,32.8,2629,33.950406,-83.380863
Clayton GA,0.277,35.8,6946,33.553383,-84.362238
Clinch GA,0.418,36.7,280,31.017888,-82.740932
Cobb GA,0.343,39.8,17268,33.943254,-84.557878
