county state,relative mobility,absolute mobility,sample size,lat,long
Trigg TN,0.449,38.8,389,,
Trimble IN,0.366,42.6,276,,
Union KY,0.297,46,704,37.653315,-87.926958
Warren KY,0.366,39.3,3389,36.970396,-86.434563
Wayne KY,0.442,38.9,611,36.837888,-84.844614
Wayne KY,0.386,41.2,1166,36.837888,-84.844614
Webster KY,0.424,45.4,625,37.499711,-87.687044
Whitley KY,0.336,39.8,1590,36.809692,-84.140995
Wolfe KY,0.261,39.1,290,37.740622,-83.510902
Woodford KY,0.365,38,886,38.050068,-84.727271
Acadia LA,0.432,43.9,2719,30.278555,-92.351799
Allen LA,0.373,44.6,910,30.669387,-92.774458
Ascension LA,0.406,42.1,3485,30.248525,-90.934028
Assumption LA,0.472,42.8,1016,29.922957,-91.06645
Avoyelles LA,0.451,42,1808,31.053586,-92.062566
Beauregard LA,0.288,44.9,1515,30.733885,-93.287136
Bienville LA,0.48,38.5,754,32.388898,-93.080261
Bossier LA,0.394,40.4,4084,32.555697,-93.656675
Caddo LA,0.443,36.3,10941,32.472074,-93.800831
Calcasieu LA,0.361,41.3,8517,30.227531,-93.261485
Caldwell LA,0.369,42.1,438,32.078215,-92.103757
Cameron LA,0.373,46.2,329,29.956693,-93.212142
Catahoula LA,0.543,46.9,535,31.696936,-91.824471
Claiborne LA,0.524,40.2,651,32.833682,-93.03306
Concordia MS,0.462,39.8,973,,
De Soto LA,0.407,39.6,1203,32.10498,-93.776734
East Baton Rouge LA,0.406,38.1,16455,30.462492,-91.100943
East Carroll LA,0.518,35.4,413,32.770972,-91.19516
East Feliciana LA,0.447,38.1,1066,30.826843,-91.089224
Evangeline LA,0.39,45.5,1450,30.685722,-92.362231
Franklin LA,0.486,41.9,948,32.143813,-91.696268
Grant LA,0.457,42.4,781,31.534149,-92.542816
Iberia LA,0.391,41.4,3519,29.994199,-91.810231
Iberville LA,0.478,38.7,1589,30.272099,-91.234302
Jackson LA,0.396,41.8,763,32.280659,-92.646015
Jefferson LA,0.377,40.2,18371,29.945261,-90.153175
Jefferson Davis LA,0.337,44.1,1482,30.240194,-92.738028
Lafayette LA,0.375,42.1,8081,30.205215,-92.043759
Lafourche LA,0.431,44.5,3737,29.679993,-90.615099
La Salle LA,0.348,50.9,654,31.730558,-92.172553
Lincoln LA,0.457,39.2,1602,32.549258,-92.64793
Livingston LA,0.348,42.8,4087,30.483388,-90.840765
Madison MS,0.424,34.8,586,32.510711,-90.098347
Madison MS,0.432,36.1,2743,32.510711,-90.098347
Morehouse LA,0.385,36,1649,32.786393,-91.886161
Natchitoches LA,0.413,40,1646,31.759482,-93.097361
Orleans LA,0.384,34.8,18879,29.972699,-90.05284
Ouachita LA,0.416,36.7,6359,32.514346,-92.129634
Plaquemines LA,0.313,43.7,1264,29.72176,-89.90076
Pointe Coupee LA,0.446,40.6,1074,30.67107,-91.50006
Rapides LA,0.391,39.1,5804,31.28458,-92.457473
Red River LA,0.527,40.9,455,32.054629,-93.307602
Richland LA,0.502,39.1,1023,32.441085,-91.714756
Sabine LA,0.413,46.6,982,31.581882,-93.566643
St Bernard LA,0.364,42.8,2854,,
St Charles LA,0.373,41.3,2383,,
St Helena LA,0.408,37.7,289,,
St James LA,0.532,39.9,1162,,
St John The Baptist LA,0.467,38.4,2308,,
St Landry LA,0.402,43.3,4193,,
St Martin LA,0.405,41.6,2075,,
St Mary LA,0.386,41.5,2784,,
St Tammany LA,0.325,41.2,8630,,
Tangipahoa LA,0.406,39.2,4608,30.571611,-90.455513
Tensas MS,0.508,40.2,305,,
Terrebonne LA,0.366,45.3,5332,29.592812,-90.722239
Union LA,0.409,41.5,970,32.794504,-92.404307
Vermilion LA,0.334,48,2602,29.993689,-92.165923
Vernon LA,0.269,43,1957,31.094949,-93.245823
Washington LA,0.385,37.7,1923,30.835918,-89.996174
Webster LA,0.461,40.3,1930,32.7001,-93.340925
West Baton Rouge LA,0.426,38.9,1094,30.443957,-91.264463
West Carroll LA,0.451,44.2,632,32.816551,-91.431802
West Feliciana LA,0.343,41.8,435,30.893607,-91.404737
Winn LA,0.408,41.5,638,31.929892,-92.676588
Androscoggin ME,0.309,42.9,3908,44.119069,-70.201312
Aroostook ME,0.348,43.6,3025,46.705048,-68.086628
Cumberland ME,0.285,42.9,8973,43.748088,-70.305589
Franklin ME,0.264,46.1,1167,44.70749,-70.225634
Hancock ME,0.238,42.2,1878,44.471475,-68.467743
Kennebec ME,0.3,42.9,4680,44.396102,-69.749178
Knox ME,0.342,40.8,1390,44.129786,-69.162849
Lincoln ME,0.338,42.1,1227,44.032332,-69.555057
Oxford ME,0.332,42.1,2050,44.28237,-70.61336
Penobscot ME,0.318,42.3,5462,44.953036,-68.79423
Piscataquis ME,0.24,43.9,749,45.242097,-69.263375
Sagadahoc ME,0.242,41.5,1408,43.956202,-69.869704
Somerset ME,0.306,42.2,2149,44.821921,-69.685757
Waldo ME,0.311,39.4,1376,44.491137,-69.086553
Washington ME,0.31,38.9,1404,44.863591,-67.464919
York NH,0.258,44.7,6800,,
Allegany MD,0.368,43.2,2575,39.629197,-78.822261
Anne Arundel MD,0.382,40.8,17460,39.067301,-76.598917
Baltimore MD,0.352,42.2,23673,39.369252,-76.620366
Baltimore MD,0.352,42.2,23673,39.314892,-76.619614
Calvert DC,0.329,43.5,3245,,
Caroline MD,0.386,39.4,1237,38.874331,-75.831491
Carroll MD,0.311,47.5,5922,39.527218,-76.9931
Cecil DE,0.348,41.2,3159,,
Charles DC,0.359,42.9,4870,,
Dorchester MD,0.446,37.3,1054,38.570623,-76.009758
Frederick DC,0.33,45.6,7494,,
Garrett MD,0.26,45.7,1116,39.512187,-79.303138
Harford MD,0.348,43.5,8322,39.521376,-76.310879
Howard MD,0.302,46.9,7543,39.219271,-76.856729
Kent MD,0.415,40,741,39.24506,-76.058525
Montgomery DC,0.271,47.7,25901,,
Prince Georges DC,0.285,40.2,27543,,
Queen Annes MD,0.338,44.3,1203,,
St Marys DC,0.383,44.3,3373,,
Somerset DE,0.315,38.4,621,,
Talbot MD,0.393,39.8,1097,38.769665,-76.098126
Washington PA,0.376,43.1,4410,40.204057,-80.144361
Washington PA,0.34,47.3,7158,40.204057,-80.144361
Wicomico DE,0.384,38.6,3047,,
Worcester DE,0.447,39.2,1473,,
Baltimore City MD,0.38,33.8,22221,,
Barnstable MA,0.274,45,6471,41.690216,-70.333968
Berkshire MA,0.309,42.5,4655,42.460781,-73.216577
Bristol RI,0.324,44.5,17535,41.712119,-71.283919
Bristol RI,0.312,45,1640,41.712119,-71.283919
Dukes MA,0.203,43.4,483,41.421286,-70.602745
Essex MA,0.329,44,22252,42.62479,-70.987816
Franklin MA,0.281,43.8,2594,42.578289,-72.558703
Hampden MA,0.395,40.4,15435,42.125927,-72.575325
Hampshire MA,0.284,45.4,4625,42.312537,-72.573322
Middlesex MA,0.283,47.5,39968,42.448546,-71.255223
Norfolk MA,0.256,49.7,18992,42.202695,-71.14756
Plymouth MA,0.331,44.6,16971,42.023962,-70.853689
Suffolk MA,0.309,39.8,14440,42.334806,-71.078632
Worcester MA,0.335,43.9,24804,42.303704,-71.805321
Alcona MI,0.358,42.8,375,44.665115,-83.467594
Alger MI,0.24,45.7,418,46.388671,-86.70041
Allegan MI,0.304,43,3985,42.603137,-85.874288
Alpena MI,0.374,40,1331,45.050953,-83.504463
Antrim MI,0.341,40.5,786,44.978647,-85.198692
Arenac MI,0.282,43.4,667,44.044496,-83.88273
Baraga MI,0.205,43.4,294,46.765021,-88.45426
Barry MI,0.331,42.1,2084,42.614153,-85.341744
Bay MI,0.358,41.2,4296,43.630574,-83.928385
Benzie MI,0.315,41.4,490,44.650382,-86.016123
Berrien IN,0.406,38.5,6768,,
Branch IN,0.33,41.9,1917,,
Calhoun MI,0.393,36.9,5462,42.289509,-85.101835
Charlevoix MI,0.328,41.6,1084,45.247029,-85.115158
Cheboygan MI,0.318,41.1,943,45.512741,-84.518691
Chippewa MI,0.306,41.3,1380,46.367641,-84.395364
Clare MI,0.369,41.6,1250,43.945731,-84.826409
Clinton MI,0.289,45.7,2375,42.891278,-84.55503
Crawford MI,0.185,39.6,469,44.655061,-84.666533
Delta MI,0.286,45.2,1726,45.802381,-87.066378
Dickinson MI,0.347,44.4,1194,45.833651,-88.01381
Eaton MI,0.309,42,4834,42.64387,-84.740485
Emmet MI,0.236,43.4,1169,45.433951,-84.908934
Genesee MI,0.345,35.4,18479,43.006414,-83.694732
Gladwin MI,0.341,42.5,967,43.967071,-84.437377
Gogebic MI,0.266,47.6,699,46.435975,-89.978538
Grand Traverse MI,0.289,42.4,3403,44.710656,-85.607171
Gratiot MI,0.362,42.4,1751,43.343314,-84.629372
Hillsdale MI,0.336,41.2,1836,41.917025,-84.603983
Houghton MI,0.31,47.2,1369,47.12765,-88.54161
Huron MI,0.226,51.8,1539,43.833604,-83.061783
Ingham MI,0.367,37.5,9951,42.68888,-84.487816
Ionia MI,0.371,41.5,2770,42.956879,-85.085925
Iosco MI,0.33,41,1021,44.356582,-83.53696
Iron MI,0.379,45.4,504,46.098021,-88.534279
Isabella MI,0.362,41.6,1872,43.607247,-84.799832
Jackson MI,0.353,39,5978,42.241313,-84.406366
Kalamazoo MI,0.4,37.5,8060,42.26348,-85.584896
Kalkaska MI,0.32,39.1,548,44.720698,-85.166074
Kent MI,0.401,38.6,22841,42.963793,-85.626605
Lake MI,0.414,38.4,318,43.95981,-85.798358
Lapeer MI,0.244,43.6,3886,43.059695,-83.250561
Leelanau MI,0.292,43.2,649,44.909768,-85.732585
Lenawee MI,0.295,41.5,4268,41.925187,-84.052388
Livingston MI,0.29,42.4,5177,42.573054,-83.857596
Mackinac MI,0.259,44,426,45.997905,-84.879992
Macomb MI,0.304,42.9,26954,42.58689,-82.957388
Manistee MI,0.312,43.4,923,44.303916,-86.188019
Marquette MI,0.296,45.4,2532,46.486961,-87.494598
Mason MI,0.394,41.4,1176,43.974937,-86.347842
Mecosta MI,0.38,39.2,1356,43.653562,-85.388822
Menominee MI,0.293,48.4,1094,45.341048,-87.582124
Midland MI,0.374,41.3,3286,43.642775,-84.298064
Missaukee MI,0.346,44.2,588,44.305822,-85.179438
Monroe OH,0.298,42.7,6578,39.741292,-81.06521
Montcalm MI,0.323,41.4,2899,43.288474,-85.180571
Montmorency MI,0.204,46.5,405,44.999428,-84.123031
Muskegon MI,0.393,36.9,6944,43.244173,-86.215441
Newaygo MI,0.346,41.2,1726,43.46692,-85.809843
Oakland MI,0.321,40.9,42825,42.587535,-83.310386
Oceana MI,0.329,43.4,1133,43.632703,-86.304176
Ogemaw MI,0.344,41.5,960,44.287569,-84.123289
Ontonagon MI,0.324,44.9,267,46.720246,-89.2851
Osceola MI,0.275,43,1215,43.965561,-85.351195
Oscoda MI,0.28,41.9,307,44.696783,-84.147141
Otsego MI,0.274,44.9,1012,45.006777,-84.666879
Ottawa MI,0.313,45.3,9966,42.909362,-86.021326
Presque Isle MI,0.311,46.7,684,45.356834,-83.873629
Roscommon MI,0.336,39.6,961,44.364864,-84.649836
Saginaw MI,0.372,37.5,8426,43.3982,-83.993736
St Clair MI,0.335,40,6698,,
Sanilac MI,0.288,46,1937,43.364275,-82.779371
Schoolcraft MI,0.323,43.5,359,46.004789,-86.227647
Shiawassee MI,0.285,41.7,3231,42.942805,-84.147237
Tuscola MI,0.294,43.2,2701,43.429727,-83.435718
Van Buren MI,0.348,38.9,3488,42.260692,-86.00994
Washtenaw MI,0.332,38.9,8610,42.256943,-83.727147
Wayne MI,0.361,34.6,71419,42.33261,-83.217933
Wexford MI,0.314,42.2,1514,44.307684,-85.485562
Aitkin MN,0.369,48.1,600,46.570765,-93.524368
Anoka MN,0.289,46.1,11651,45.195145,-93.270245
Becker MN,0.322,49.2,1380,46.849159,-95.776251
Beltrami MN,0.4,40.3,1732,47.591009,-94.863032
Benton MN,0.229,54.7,1361,45.633538,-94.102484
Big Stone MN,0.17,58.9,280,45.400021,-96.443222
Blue Earth MN,0.243,49.4,2048,44.129816,-93.998839
Brown MN,0.172,56.8,1353,44.284244,-94.599226
Carlton MN,0.305,45.4,1502,46.642726,-92.536239
Carver MN,0.208,52.5,2520,44.83804,-93.679956
Cass MN,0.411,39.4,888,46.814565,-94.415763
Chippewa MN,0.267,52.5,591,44.960561,-95.620749
Chisago MN,0.237,48.4,2296,45.453007,-92.924051
Clay ND,0.331,48.1,2026,,
Clearwater MN,0.36,47.4,453,47.561894,-95.388249
Cottonwood MN,0.256,54.5,522,43.94151,-95.119501
Crow Wing MN,0.295,46,2409,46.430372,-94.158899
Dakota MN,0.308,46.9,14343,44.765954,-93.151767
Dodge MN,0.292,48.9,829,44.02998,-92.808798
Douglas MN,0.269,52.9,1489,45.909027,-95.39199
Douglas MN,0.388,42.6,1749,45.909027,-95.39199
Faribault MN,0.305,50.4,851,43.680245,-93.957933
Fillmore MN,0.227,55,1116,43.692687,-92.082719
Freeborn MN,0.294,49.2,1299,43.662563,-93.361794
Goodhue MN,0.246,51.6,2214,44.449072,-92.667524
Grant MN,0.249,56.9,342,45.943212,-95.936611
Grant MN,0.313,52.4,427,45.943212,-95.936611
Hennepin MN,0.377,41.2,34874,44.974633,-93.36119
Houston WI,0.168,53.9,915,,
Hubbard MN,0.328,46,690,47.057887,-94.934153
Isanti MN,0.255,49.5,1385,45.544297,-93.261468
Itasca MN,0.266,48.7,1920,47.315978,-93.520532
Jackson MN,0.303,54.8,435,43.665988,-95.112558
Kanabec MN,0.304,48.3,594,45.886315,-93.299412
Kandiyohi MN,0.301,49.4,1897,45.15505,-95.016796
Kittson ND,0.219,56.6,263,,
Koochiching MN,0.254,49,653,48.509405,-93.485728
Lac Qui Parle MN,0.228,56.4,361,,
Lake MN,0.273,46.8,430,47.180205,-91.55743
Le Sueur MN,0.241,53.5,1458,44.39373,-93.717527
Lincoln MN,0.325,58.4,261,44.375241,-96.253532
Lyon MN,0.263,53.9,1218,44.428427,-95.795395
McLeod MN,0.254,51.4,1559,44.859713,-94.264668
Mahnomen MN,0.396,44,281,47.296073,-95.840755
Marshall MN,0.302,53.9,495,48.310109,-96.532098
Martin MN,0.295,52.5,1031,43.665285,-94.511487
Meeker MN,0.268,52.1,1021,45.136368,-94.482983
Mille Lacs MN,0.367,46.7,1298,45.794231,-93.624487
Morrison MN,0.299,50.1,1559,45.983428,-94.327628
Mower MN,0.304,49.1,1641,43.665099,-92.898185
Murray MN,0.261,54.6,412,43.98645,-95.74103
Nicollet MN,0.276,49.9,1230,44.265357,-94.06079
Nobles MN,0.29,53.1,886,43.636327,-95.667405
Norman ND,0.361,51.3,370,,
Olmsted MN,0.294,47,4553,44.023967,-92.473176
Otter Tail MN,0.31,50.5,2415,46.405065,-95.793598
Pennington MN,0.244,52.2,582,48.102255,-96.148403
Pine MN,0.326,46.5,1176,46.03341,-92.892705
Pipestone MN,0.201,57.4,532,43.981472,-96.270609
Polk ND,0.292,51.5,1581,,
Pope MN,0.214,56.2,519,45.629871,-95.43713
Ramsey MN,0.364,41.9,16980,44.993146,-93.106321
Red Lake MN,0.144,61.3,268,47.876104,-96.135646
Redwood MN,0.235,56.6,798,44.43888,-95.195158
Renville MN,0.308,55.7,850,44.721974,-94.937875
Rice MN,0.279,47.4,2347,44.370592,-93.260361
Rock MN,0.322,52.8,437,43.648101,-96.238816
Roseau MN,0.182,54,810,48.821304,-95.648394
St Louis MN,0.331,45.3,7970,,
Scott MN,0.248,49.8,2957,44.713131,-93.467891
Sherburne MN,0.27,48,2685,45.404646,-93.721897
Sibley MN,0.203,55.5,645,44.582707,-94.168405
Stearns MN,0.246,52.3,6193,45.55783,-94.360801
Steele MN,0.326,48.2,1489,44.064305,-93.214413
Stevens MN,0.23,58.6,449,45.580687,-95.926026
Swift MN,0.273,54.1,520,45.274076,-95.64442
Todd MN,0.243,52.9,1192,46.066924,-94.886512
Wabasha MN,0.255,53.2,1042,44.297858,-92.221086
Wadena MN,0.206,53.7,750,46.524393,-95.04137
Waseca MN,0.27,50.9,895,44.061,-93.549998
Washington MN,0.285,48.1,8737,44.988623,-92.920897
Watonwan MN,0.315,49.7,577,43.993423,-94.583786
Wilkin ND,0.332,53,387,,
Winona WI,0.238,50.9,1888,,
Wright MN,0.302,47.8,4040,45.197631,-93.828888
Yellow Medicine MN,0.336,53.7,608,44.737553,-95.825953
Adams MS,0.42,37.4,1663,31.547641,-91.352164
Alcorn MS,0.356,37,1235,34.908785,-88.531068
Amite MS,0.43,41.5,530,31.180019,-90.817613
Attala MS,0.446,40.2,862,33.066234,-89.586852
Bolivar MS,0.495,34.2,2174,33.77228,-90.775341
Calhoun MS,0.479,39.3,663,33.929772,-89.306905
Carroll MS,0.487,39.8,445,33.458389,-89.918375
Chickasaw MS,0.419,36.5,1025,33.932227,-88.931815
Choctaw MS,0.455,42.9,342,33.342151,-89.236281
Claiborne MS,0.361,33.4,503,31.935954,-90.954141
Clarke MS,0.44,40.4,867,32.062753,-88.730627
Clay MS,0.42,34.5,982,33.62459,-88.69246
Coahoma MS,0.514,33,1591,34.222427,-90.569863
Copiah MS,0.474,36.3,1461,31.889652,-90.3792
Covington MS,0.441,39.4,864,31.637591,-89.548718
De Soto TN,0.339,39.8,3655,,
Forrest MS,0.395,37.8,3467,31.309039,-89.287875
Franklin MS,0.474,41.1,410,31.473218,-90.872761
George MS,0.295,46.1,892,30.870536,-88.592895
Greene MS,0.475,42.2,500,31.193014,-88.626139
Grenada MS,0.398,34.7,1034,33.768122,-89.802799
Hancock MS,0.325,40.1,1177,30.379392,-89.405662
Harrison MS,0.347,38.1,7347,30.432955,-89.063834
Hinds MS,0.416,34.3,11133,32.303868,-90.255669
Holmes MS,0.485,35.6,1249,33.090289,-90.0284
Humphreys MS,0.503,32.3,658,33.161583,-90.519097
Itawamba MS,0.441,39.7,1059,34.292221,-88.40269
Jackson MS,0.34,38.5,5332,30.44437,-88.660684
Jasper MS,0.438,39.1,910,31.966737,-89.144535
Jefferson MS,0.301,34.2,464,31.714659,-91.055531
Jefferson Davis MS,0.474,37.9,576,31.574917,-89.814551
Jones MS,0.425,39.8,2600,31.668673,-89.16512
Kemper MS,0.447,36.4,432,32.759967,-88.677908
Lafayette MS,0.426,37.5,1088,34.361506,-89.526937
Lamar MS,0.312,43.2,1141,31.264156,-89.438738
Lauderdale MS,0.454,36.2,3337,32.400679,-88.691796
Lawrence MS,0.429,41.4,832,31.555383,-90.109256
Leake MS,0.47,40.8,975,32.725455,-89.504736
Lee MS,0.429,36,3359,34.274735,-88.702989
Leflore MS,0.488,33.7,1762,33.513076,-90.209073
Lincoln MS,0.423,39.9,1317,31.550891,-90.456276
Lowndes MS,0.437,35.3,2657,33.515351,-88.392697
Marion MS,0.462,41.8,1271,31.244447,-89.829694
Marshall TN,0.399,34.6,1630,35.488656,-86.772777
Marshall TN,0.302,40.4,1085,35.488656,-86.772777
Monroe MS,0.405,38.5,1751,33.925912,-88.498114
Montgomery MS,0.462,39.7,668,33.496574,-89.682988
Neshoba MS,0.424,37.1,1249,32.754204,-89.117671
Newton MS,0.481,38.9,811,32.41204,-89.128073
Noxubee MS,0.546,36.7,626,33.13112,-88.54983
Oktibbeha MS,0.441,35.9,1354,33.449231,-88.828709
Panola MS,0.451,33.6,1692,34.350009,-89.938355
Pearl River MS,0.365,40.3,1911,30.641968,-89.63173
Perry MS,0.394,43.6,620,31.262821,-88.991988
Pike MS,0.415,38,1932,31.216057,-90.436396
Pontotoc MS,0.37,40.8,896,34.252502,-89.011424
Prentiss MS,0.44,37.9,773,34.631502,-88.552652
Quitman MS,0.486,32.7,435,34.27262,-90.262854
Rankin MS,0.349,41.1,4476,32.279373,-90.033002
Scott MS,0.506,36.6,1274,32.401463,-89.529197
Sharkey MS,0.521,35.8,371,32.924745,-90.859408
Simpson MS,0.45,40,1142,31.916008,-89.853775
Smith MS,0.433,39.8,596,31.971849,-89.506985
Stone MS,0.386,42.2,686,30.809011,-89.136496
Sunflower MS,0.46,33.4,1658,33.594123,-90.584058
Tallahatchie MS,0.441,34,719,33.983144,-90.197125
Tate TN,0.429,36.1,1076,,
Tippah MS,0.388,40,961,34.767895,-88.925793
Tishomingo MS,0.383,43.1,681,34.723482,-88.228366
Tunica TN,0.466,31.8,543,,
Union MS,0.446,40.2,919,34.484262,-89.007903
Walthall MS,0.519,39.1,607,31.151622,-90.121389
Warren MS,0.422,36.1,2393,32.325884,-90.845245
Washington MS,0.457,33.2,3489,33.37108,-91.010964
Wayne MS,0.474,42.3,817,31.650101,-88.659321
Webster MS,0.534,40,553,33.582221,-89.226172
Wilkinson MS,0.365,39.2,476,31.121531,-91.238269
Winston MS,0.48,36.2,840,33.084925,-89.042843
Yalobusha MS,0.488,36.4,715,34.080595,-89.693557
Yazoo MS,0.495,36.1,1309,32.82849,-90.380241
Adair MO,0.28,45.8,722,40.19566,-92.582446
Andrew MO,0.308,46.2,1232,39.922565,-94.818293
Atchison MO,0.4,49.9,257,40.421105,-95.437688
Audrain MO,0.325,43.9,938,39.205358,-91.821071
Barry MO,0.339,43.3,1281,36.735065,-93.862744
Barton MO,0.346,44.9,556,37.495228,-94.308903
Bates MO,0.326,45.6,762,38.276163,-94.362322
Benton MO,0.305,44.5,560,38.302689,-93.308948
Bollinger MO,0.412,43.2,454,37.338242,-89.998323
Boone MO,0.358,39.9,4257,38.959866,-92.321523
Buchanan MO,0.379,39.7,2730,39.750602,-94.821954
Butler MO,0.368,39.6,1435,36.75379,-90.413589
Caldwell MO,0.361,47,406,39.664765,-93.994816
Callaway MO,0.337,41.5,1447,38.802239,-91.993447
Camden MO,0.315,41.8,1212,38.072828,-92.749496
Cape Girardeau MO,0.377,41.4,2412,37.353894,-89.60625
Carroll MO,0.404,46.2,434,39.410155,-93.495631
Carter MO,0.34,46,282,36.949427,-90.897277
Cass MO,0.273,44.9,3211,38.746895,-94.423526
Cedar MO,0.384,42.3,495,37.767996,-93.895022
Chariton MO,0.419,48.9,335,39.486626,-92.934967
Christian MO,0.261,44.2,2002,37.025687,-93.262511
Clark IA,0.31,48,300,,
Clay MO,0.293,43.6,7225,39.251395,-94.49392
Clinton MO,0.298,45.2,846,39.602093,-94.370131
Cole MO,0.326,43.9,2861,38.552393,-92.218634
Cooper MO,0.307,44.1,664,38.909615,-92.772604
Dade MO,0.338,47.1,357,37.415613,-93.829944
Dallas MO,0.231,42.6,507,37.643825,-93.067095
Daviess MO,0.301,46.5,345,39.942683,-93.983258
Dekalb MO,0.318,48,352,,
Dent MO,0.285,48.3,600,37.630684,-91.542131
Douglas MO,0.232,42.7,411,36.939746,-92.588247
Dunklin AR,0.437,40,1236,,
Franklin MO,0.334,44.2,4472,38.432966,-90.999826
Gasconade MO,0.383,44.1,640,38.45363,-91.491625
Gentry MO,0.39,49.7,328,40.199987,-94.439143
Greene MO,0.325,41.1,8031,37.193837,-93.3083
Grundy MO,0.395,43.2,413,40.091968,-93.595469
Harrison MO,0.243,47.1,297,40.313851,-94.000823
Henry MO,0.384,42,895,38.394758,-93.736873
Holt MO,0.26,49.1,250,40.092393,-95.199972
Howard MO,0.363,45.7,399,39.139325,-92.705762
Howell MO,0.315,43.4,1555,36.793133,-91.873823
Iron MO,0.442,41.6,527,37.571851,-90.711599
Jackson MO,0.383,37.3,24550,39.010332,-94.446137
Jasper MO,0.35,42.2,4575,37.128993,-94.443436
Jefferson MO,0.298,42.8,8039,38.340593,-90.475744
Laclede MO,0.326,41.9,1315,37.669645,-92.65456
Lafayette MO,0.356,44.2,1454,39.056329,-93.840082
Lawrence MO,0.329,43.7,1285,37.035398,-93.797074
Lewis IL,0.224,48.2,403,,
Lincoln MO,0.356,43.6,1571,39.003625,-90.928671
Livingston MO,0.404,46.6,617,39.795916,-93.554324
Mcdonald AR,0.279,41.7,774,,
Macon MO,0.361,46.3,589,39.798522,-92.51033
Madison MO,0.32,43.1,514,37.535795,-90.300055
Maries MO,0.298,44.1,264,38.171917,-91.878062
Miller MO,0.421,42.9,842,38.247837,-92.507085
Mississippi MO,0.397,38,581,36.857051,-89.365459
Moniteau MO,0.399,46.3,596,38.628938,-92.616373
Montgomery MO,0.31,46.4,548,38.950802,-91.468473
Morgan MO,0.332,42.4,602,38.381506,-92.850304
New Madrid MO,0.453,38.7,862,36.605307,-89.65871
Newton MO,0.259,44,1596,36.921798,-94.41138
Nodaway MO,0.316,51.5,785,40.352749,-94.867916
Oregon MO,0.223,46.8,339,36.618129,-91.464771
Osage MO,0.233,54.2,513,38.453819,-91.883136
Ozark AR,0.277,43.6,313,,
Pemiscot AR,0.475,37.5,872,,
Perry MO,0.352,46.5,729,37.713672,-89.857097
Pettis MO,0.319,43.2,1471,38.702201,-93.246549
Phelps MO,0.352,41.4,1487,37.942882,-91.748715
Platte MO,0.326,43.8,2765,39.262166,-94.684698
Polk MO,0.343,43.4,1053,37.601813,-93.404415
Pulaski MO,0.3,41.1,1644,37.824257,-92.1773
Ralls IL,0.199,48.1,287,,
Randolph MO,0.392,40,1031,39.412906,-92.451935
Ray MO,0.21,47,891,39.335641,-94.06127
Reynolds MO,0.357,47.5,262,37.336586,-90.972986
Ripley MO,0.391,39.7,543,36.627212,-90.791802
St Charles MO,0.321,44.3,11731,,
Ste Genevieve MO,0.411,45.2,708,,
St Francois MO,0.342,40.5,2270,,
St Louis MO,0.394,39.1,41520,,
Saline MO,0.406,43.1,987,39.111933,-93.204898
Scott MO,0.419,41.8,1818,37.014498,-89.577839
Shannon MO,0.24,42.7,293,37.069627,-91.429472
Shelby MO,0.101,54.8,340,39.761774,-92.077052
Stoddard MO,0.337,44.4,1231,36.850777,-89.969639
Stone MO,0.244,43.3,856,36.717605,-93.438433
Sullivan MO,0.341,46.5,260,40.217733,-93.103734
Taney MO,0.31,40.2,1310,36.656706,-93.189979
Texas MO,0.342,43.7,916,37.328457,-91.968488
Vernon MO,0.353,43.6,811,37.835598,-94.340355
Warren MO,0.372,41.8,971,38.788663,-91.10358
Washington MO,0.321,41,813,37.953147,-90.785675
Wayne MO,0.364,43.6,521,37.107087,-90.512622
Webster MO,0.34,41.2,1498,37.263337,-92.907363
Wright MO,0.365,43,954,37.192204,-92.429174
St Louis City MO,0.427,32.2,11675,,
Beaverhead MT,0.121,51.2,418,45.221056,-112.696186
Big Horn WY,0.407,33.9,603,44.629497,-108.244578
Big Horn WY,0.152,53.2,565,44.629497,-108.244578
Blaine MT,0.4,39.9,345,48.441261,-108.899086
Carbon MT,0.103,49.9,400,45.321484,-109.084478
Cascade MT,0.271,45.8,3292,47.491839,-111.306258
Chouteau MT,0.237,51.8,252,47.956366,-110.403274
Custer MT,0.235,50.8,561,46.403369,-105.817008
Dawson MT,0.241,56.1,432,47.134482,-104.750559
Deer Lodge MT,0.359,45.2,369,46.137755,-112.954087
Fergus MT,0.248,50.3,583,47.097548,-109.417095
Flathead MT,0.223,45.1,3426,48.247204,-114.279524
Gallatin MT,0.19,47,2246,45.682805,-111.128283
Glacier MT,0.405,34.4,678,48.60292,-112.799156
Hill MT,0.399,42.9,841,48.515786,-109.762794
Jefferson MT,0.193,49.1,488,46.254092,-112.053101
Lake MT,0.296,41.8,1044,47.601938,-114.120003
Lewis and Clark MT,0.284,44.7,2409,46.64477,-112.021955
Lincoln MT,0.187,47.7,897,48.545504,-115.437677
Missoula MT,0.248,44,3410,46.875472,-114.019007
Park MT,0.274,45.2,612,45.59709,-110.599015
Phillips MT,0.237,51.6,276,48.374315,-107.857685
Pondera MT,0.344,50.4,328,48.210126,-112.14458
Powell MT,0.229,45.8,271,46.449212,-112.760484
Ravalli MT,0.166,47.7,1525,46.352649,-114.117267
Richland ND,0.202,58.9,514,46.264153,-96.76635
Richland ND,0.267,56.2,788,46.264153,-96.76635
Roosevelt MT,0.306,42.4,542,48.132541,-105.24766
